specimen_id,filename_position,image_count,evidence_category,catalog_name,evidence_note,source_url,photo_identity_verified,new_morphological_assignment
UF-276840,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/ee21bbad-9b2c-4779-9a0e-f80b4e8baec7,no,none
UF-38231,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/adf44eeb-4d9f-4be7-9a45-bbcb24adfe57,no,none
UF-38232,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/454727c2-b45a-4438-b3a1-352067fbc8cd,no,none
UF-38233,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/083436bb-2473-439f-8e63-50e5f5de07d3,no,none
UF-38234,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/6876bb4b-ccc1-422a-95fe-25bda8f664fe,no,none
UF-38235,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/df7b5705-19de-4f40-86e7-ba4616f786ce,no,none
UF-38237,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/67c353d3-39b9-4784-bbe0-6a1b12a98fde,no,none
UF-38239,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/1aa73859-a2dd-4157-9234-aea130c218ff,no,none
UF-38240,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/bb89fee1-f04a-435e-bdd6-f7d8d3241388,no,none
UF-38243,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/cd1e4ae2-f930-4944-a1be-ca4cfc1c9802,no,none
UF-38244,upper_m3,1,catalog_gomphotherium,Gomphotherium,Genus-level catalog label; species and photo identity are unverified.,https://portal.idigbio.org/portal/records/f5d95f61-6329-4144-8d32-d2871b7329f9,no,none
UF-38247,upper_m3,1,broad_catalog,Amebelodontinae,"Broad catalog identification; not a verified genus or species, and not proof of a second Love taxon.",https://portal.idigbio.org/portal/records/1f9a92cb-4140-47bf-8b2a-091c7b5d4595,no,none
USNM-3080,upper_m3,1,unresolved,,Locality alone does not identify this tooth. Seek its collection record and associated material.,,no,none
