tooth_position,specimen_id,site,image_path,source_path,side_inferred,metadata_status,anatomical_orientation,wear,preservation,photography_batch,scale_mm_per_pixel,reviewer,notes
upper_m3,UF-276840,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-276840-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-276840-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38231,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38231-01-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38231-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38232,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38232-01-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38232-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38233,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38233-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38233-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38234,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38234-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38234-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38235,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38235-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38235-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38237,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38237-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38237-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38239,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38239-01-LUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38239-01-LUM3.tiff,left,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38240,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38240-03-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38240-03-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38243,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38243-01-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38243-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38244,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38244-01-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38244-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,UF-38247,Love Bone Bed Upper M3,Love Bone Bed Upper M3/UF-38247-01-RUM3.png,data/preprocessed/upper_m3/Love Bone Bed Upper M3/UF-38247-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,USNM-3080,Mixson's Bone Bed,Mixson's Bone Bed/USNM-3080-01-RUM3.png,data/preprocessed/upper_m3/Mixson's Bone Bed/USNM-3080-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
upper_m3,USNM-3084,Mixson's Bone Bed,Mixson's Bone Bed/USNM-3084-01-RUM3.png,data/preprocessed/upper_m3/Mixson's Bone Bed/USNM-3084-01-RUM3.tiff,right,filename_inferred_unverified,unknown,unknown,unknown,unknown,unknown,,
