specimen_id,tooth_position,site,institution_prefix_inferred,sides_inferred,image_count,taxon,taxon_evidence,catalog_id_verified,locality_verified,metadata_status,reviewer,notes
UF-276840,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38231,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38232,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38233,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38234,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38235,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38237,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38239,upper_m3,Love Bone Bed Upper M3,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38240,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38243,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38244,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38247,upper_m3,Love Bone Bed Upper M3,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
USNM-3080,upper_m3,Mixson's Bone Bed,USNM,right,1,unknown,,no,no,filename_inferred_unverified,,
USNM-3084,upper_m3,Mixson's Bone Bed,USNM,right,1,unknown,,no,no,filename_inferred_unverified,,
USNM-3085,upper_m3,Mixson's Bone Bed,USNM,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-212305,upper_m3,Tyner Farm,UF,left;right,2,unknown,,no,no,filename_inferred_unverified,,
UF-38208,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38213,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38215,lower_m3,Love_Bone_Bed,UF,left;right,2,unknown,,no,no,filename_inferred_unverified,,
UF-38216,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38218,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38220,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38221,lower_m3,Love_Bone_Bed,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38223,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38226,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38228,lower_m3,Love_Bone_Bed,UF,right,1,unknown,,no,no,filename_inferred_unverified,,
UF-38241,lower_m3,Love_Bone_Bed,UF,left,1,unknown,,no,no,filename_inferred_unverified,,
UF-38249,lower_m3,Love_Bone_Bed,UF,left;right,2,unknown,,no,no,filename_inferred_unverified,,
USNM-3082,lower_m3,Mixsons_Bone_Bed,USNM,unknown,1,unknown,,no,no,filename_inferred_unverified,,
USNM-3083,lower_m3,Mixsons_Bone_Bed,USNM,unknown,1,unknown,,no,no,filename_inferred_unverified,,
UF-212304,lower_m3,Tyner_Farm,UF,left;right,2,unknown,,no,no,filename_inferred_unverified,,
UF-217472,lower_m3,Tyner_Farm,UF,left;right,2,unknown,,no,no,filename_inferred_unverified,,
